customer_id,age,income,tenure_months,product_count,transactions_30d,app_sessions_30d,avg_balance,complaints_90d,salary_credit,card_utilization,recent_inactivity_days,balance_change_90d,region,retention_campaign,churn_90d,account_closed,post_churn_balance,churn_reason,pre_txn_rate,post_txn_rate
200001,43,41280.12,97,4,25,12,10257.98,0,1,0.2785,17,-0.0081,North,0,0,0,8819.21,none,27.3,30.71
200002,29,70147.31,139,3,16,7,15086.77,0,0,0.1502,26,-0.3105,North,0,0,0,12498.1,none,19.35,17.47
200003,48,34334.99,19,4,16,12,11715.57,0,1,0.4741,31,-0.1157,East,1,0,0,11244.0,none,11.42,16.36
200004,50,48580.41,98,5,11,13,20215.46,1,1,0.4325,14,0.0101,South,0,0,0,23321.26,none,15.27,14.19
200005,19,62951.27,58,1,23,7,6690.24,0,1,0.3445,4,0.2975,East,0,0,0,6496.6,none,23.14,23.79
200006,26,57090.01,76,3,18,14,11601.93,0,1,0.3931,28,0.1573,South,0,0,0,10814.95,none,17.57,19.25
200007,41,107389.81,145,3,26,9,5972.02,0,0,0.1288,17,0.1106,North,0,0,0,4891.06,none,25.34,24.99
200008,37,47983.68,61,4,13,17,12874.08,0,1,0.4704,18,-0.0714,West,0,0,0,14554.72,none,10.03,6.21
200009,40,18507.51,30,3,19,7,24224.26,0,0,0.0097,2,0.1795,West,0,0,0,25449.2,none,21.91,23.88
200010,31,28488.23,23,2,14,4,24719.01,0,0,0.406,25,0.3072,West,0,0,0,27285.76,none,12.27,9.78
200011,50,71297.85,142,3,15,6,9536.88,0,0,0.1294,8,-0.1292,East,0,0,0,11100.25,none,10.99,7.39
200012,49,52139.58,71,2,23,13,49246.08,0,0,0.2545,10,-0.0063,East,0,0,0,51303.85,none,25.58,25.36
200013,41,36470.24,61,1,14,9,19756.59,0,1,0.2879,15,-0.0924,North,0,0,0,16775.54,none,14.71,14.59
200014,52,211413.17,133,5,16,5,20851.1,0,1,0.5223,5,-0.0727,North,0,0,0,23045.24,none,13.99,16.52
200015,45,113576.73,38,2,15,13,14510.34,0,1,0.5874,29,-0.1669,West,0,0,0,14539.05,none,13.78,5.03
200016,31,69723.06,38,3,17,11,22103.22,0,0,0.2977,10,0.0963,East,0,0,0,21446.13,none,16.66,13.33
200017,44,81857.47,158,1,20,11,18459.06,0,0,0.2054,24,0.0928,West,0,0,0,14989.52,none,19.44,17.37
200018,29,62230.08,35,2,23,11,5089.22,0,1,0.2013,10,-0.0003,East,1,0,0,4755.85,none,18.04,18.99
200019,50,36127.98,27,3,17,6,5187.61,0,1,0.0529,24,-0.1414,South,0,0,0,5662.74,none,17.33,14.2
200020,39,126920.67,157,3,19,6,9245.93,1,0,0.3646,10,0.2401,East,0,0,0,9455.99,none,16.52,15.23
200021,38,114996.04,95,4,19,9,8586.59,1,1,0.3689,39,0.0695,West,0,0,0,9706.47,none,25.44,25.54
200022,33,24267.37,58,3,18,6,18884.18,0,1,0.3433,6,0.1685,East,1,0,0,18684.78,none,15.1,13.34
200023,53,81548.99,199,3,27,7,17861.26,0,1,0.5033,5,-0.0081,West,0,0,0,20625.07,none,27.88,26.84
200024,38,86654.06,44,1,22,11,13685.83,0,1,0.6753,13,-0.0197,South,0,0,0,15338.16,none,16.54,16.46
200025,35,60323.03,84,2,13,10,11961.97,0,0,0.1684,4,0.354,East,0,0,0,12722.49,none,7.66,4.38
200026,36,228186.22,79,4,25,9,172290.67,0,0,0.4241,17,-0.0955,North,0,0,0,144685.81,none,25.34,24.47
200027,46,214965.1,135,2,18,6,32032.11,0,1,0.6793,9,-0.0786,North,0,0,0,31191.84,none,23.18,21.63
200028,44,58500.58,38,3,19,8,20860.34,0,1,0.3425,26,0.2954,East,0,0,0,24335.92,none,17.1,17.14
200029,45,63695.6,157,4,22,9,23491.42,1,1,0.3724,15,-0.0474,North,1,0,0,27082.55,none,22.65,22.27
200030,45,59711.07,188,1,21,4,15242.59,0,1,0.7758,36,-0.0031,East,1,0,0,12461.39,none,18.57,20.69
200031,64,51440.89,122,3,17,10,6234.87,0,1,0.2966,11,0.2869,West,1,0,0,6285.89,none,11.97,17.7
200032,36,43390.82,41,2,21,13,1673.9,0,0,0.1624,40,-0.3093,South,1,0,0,1498.1,none,17.57,16.44
200033,34,95148.38,69,4,15,8,13658.29,0,1,0.0896,7,0.2165,East,0,0,0,13322.78,none,15.81,16.3
