risk_decile,customers,churn_rate,avg_predicted_risk,lift_vs_average
1,900,0.1,0.7249076923231381,2.8301886792452833
2,900,0.04111111111111111,0.6060167237465427,1.1635220125786163
3,900,0.042222222222222223,0.5454456385847958,1.1949685534591195
4,900,0.03,0.5001147174744323,0.8490566037735848
5,900,0.027777777777777776,0.461217100459891,0.7861635220125786
6,900,0.01888888888888889,0.4271419939111254,0.5345911949685535
7,900,0.025555555555555557,0.39266046621136624,0.7232704402515724
8,900,0.02666666666666667,0.3560450753791461,0.7547169811320755
9,900,0.01888888888888889,0.31314034658917445,0.5345911949685535
10,900,0.022222222222222223,0.24309391546659342,0.6289308176100629
