feature,coefficient,odds_ratio
recent_inactivity_days,0.4271603082291915,1.53289837825285
complaints_90d,0.1745912360104886,1.1907593775642797
card_utilization,0.0973866341831686,1.1022864728734916
region_West,0.05426796695431417,1.055767475047846
avg_balance,0.033220427881731414,1.0337783877084876
income,0.01967722291377127,1.0198720955500002
age,-0.01947197877354321,0.9807163756792987
transactions_30d,-0.020407096678348165,0.9797997188947486
region_North,-0.024234898909699452,0.9760564082415245
region_South,-0.0794609532481611,0.9236140833944312
region_East,-0.09274739104777885,0.9114237050061823
balance_change_90d,-0.11480989179805069,0.8915356160302379
app_sessions_30d,-0.14565100593844704,0.8644593417232672
salary_credit,-0.15900994522445705,0.8529878757710643
product_count,-0.18358981151493015,0.8322771243117993
tenure_months,-0.222961391510565,0.8001457411165994
